Property Type,Property Use,Land Use,Beds,Baths,Rooms Count,Units Count,Stories,Building Size (sqft),Lot Size (sqft),Year Built,Years Owned,Pool,Pool Area,Garage,Basement,Deck,Deck Area,Patio,Patio Area,Air Conditioning,Roof Construction,Roof Material,Estimated Value,Assessed Value,Assessed Land Value,Assessed Improvement Value,Price Per Sqft,Last Sale Date,Last Sale Amount,Last Sale Arms Length,Prior Sale Amount,Recording Date,Document Type,Last Update Date,Cash Buyer,Investor Buyer,Flood Zone
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,965.0,3535,1926.0,6.0,No,0,No,No,No,0,No,0,No,,,472000,185914,55774,130140,0,2019-07-15,0,No,154000.0,2019-07-15,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,1.0,1.0,4,0,1.0,629.0,3500,1926.0,29.0,No,0,No,No,No,0,No,0,No,,,339000,51299,15308,35991,50,1995-09-18,31500,Yes,,1995-09-18,Grant Deed,2025-07-23 00:00:00 UTC,Yes,Yes,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,980.0,3621,1912.0,31.0,No,0,No,No,No,0,No,0,No,,,461000,178596,53048,125548,0,1994-05-10,0,No,,1994-05-10,Quit Claim Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,1.0,1.0,4,0,1.0,990.0,5265,1941.0,0.0,No,0,No,No,No,0,No,0,No,,,463000,52159,23796,28363,0,2025-05-09,0,No,0.0,2025-05-09,Intrafamily Transfer,2025-07-16 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,1478.0,5500,1919.0,18.0,No,0,No,No,No,0,No,0,No,,,655000,151996,63801,88195,0,2007-07-13,0,No,,2007-07-13,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,4,0,1.5,1092.0,1794,1924.0,1.0,No,0,No,No,No,0,No,0,No,,,976061,976061,292818,683243,852,2024-04-17,930000,Yes,875000.0,2024-04-17,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,5,0,1.0,1066.0,6300,1956.0,1.0,No,0,No,No,No,0,No,0,No,,,640000,265740,79722,186018,0,2023-09-08,0,No,210000.0,2023-09-08,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.5,1239.0,4000,1926.0,17.0,No,0,No,No,No,0,No,0,No,,,576000,282035,83853,198182,0,2008-01-30,0,No,0.0,2008-01-30,Grant Deed,2025-07-16 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,4.0,1.0,7,0,1.5,1120.0,5000,1900.0,0.0,No,0,No,No,No,0,No,0,No,,,593000,183487,55046,128441,0,2024-12-19,0,No,0.0,2024-12-19,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1130.0,4400,1922.0,17.0,No,0,No,No,No,0,No,0,No,,,501000,234811,70443,164368,165,2008-07-16,186000,Yes,439939.0,2008-07-16,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,7,0,1.0,1642.0,4600,1910.0,5.0,No,0,No,No,No,0,No,0,No,,,1028000,61293,32930,28363,0,2020-03-03,0,No,0.0,2020-03-03,Affidavit Of Death,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,5,0,1.0,1314.0,12771,1967.0,17.0,No,0,No,No,No,0,No,0,No,,,803000,482880,144864,338016,285,2008-02-01,375000,Yes,0.0,2008-02-01,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,3.0,7,0,2.0,1908.0,3120,1911.0,8.0,No,0,No,No,No,0,No,0,No,,,1109364,1109364,332809,776555,511,2016-09-09,975000,Yes,395000.0,2016-09-09,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,6,0,1.0,1179.0,4760,1938.0,19.0,No,0,No,No,No,0,No,0,No,,,1173000,808427,242528,565899,0,2006-04-10,0,No,580000.0,2006-04-10,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,5,0,1.0,942.0,4056,1942.0,25.0,No,0,No,No,No,0,No,0,No,,,464000,180810,54243,126567,127,2000-03-31,120000,Yes,57000.0,2000-03-31,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1098.0,3800,1925.0,8.0,No,0,No,No,No,0,No,0,No,,,538000,460812,138243,322569,369,2016-09-27,405000,Yes,0.0,2016-09-27,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1048.0,4080,1922.0,16.0,No,0,No,No,No,0,No,0,No,,,545000,290358,87107,203251,219,2008-10-17,230000,Yes,154000.0,2008-10-17,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,3.0,6,0,2.0,1916.0,6018,1926.0,13.0,No,0,No,No,No,0,No,0,No,,,938000,420881,126264,294617,180,2012-04-18,345000,Yes,100000.0,2012-04-18,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1929.0,3500,1926.0,,No,0,No,No,No,0,No,0,No,,,535000,73613,23782,49831,0,1967-11-17,0,No,,1967-11-17,Grant Deed,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,4,0,1.0,960.0,3468,1908.0,13.0,No,0,No,No,No,0,No,0,No,,,552000,45910,30767,15143,0,2011-08-30,0,No,0.0,2011-08-30,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,5,0,1.0,1013.0,4503,1943.0,7.0,No,0,No,No,No,0,No,0,No,,,495000,492133,147640,344493,444,2018-07-31,450000,Yes,0.0,2018-07-31,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,7,0,1.5,1285.0,3168,1925.0,8.0,No,0,No,No,No,0,No,0,No,,,813000,753230,225969,527261,515,2016-08-12,662000,Yes,455000.0,2016-08-12,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.0,1400.0,9100,1967.0,5.0,No,0,No,No,No,0,No,0,No,,,1227000,1061914,318574,743340,0,2019-09-25,0,No,785000.0,2019-09-25,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1068.0,4160,1926.0,0.0,No,0,No,No,No,0,No,0,No,,,479000,82252,24675,57577,468,2025-01-13,500000,Yes,65000.0,2025-01-13,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,4.0,3.0,15,0,3.0,2926.0,3933,1934.0,12.0,No,0,No,No,No,0,No,0,No,,,1454000,1110704,328358,782346,0,2013-02-26,0,No,0.0,2013-02-26,Intrafamily Transfer,2025-07-16 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,973.0,4000,1945.0,20.0,No,0,No,No,No,0,No,0,No,,,544000,457763,137329,320434,344,2005-03-10,335000,Yes,60000.0,2005-03-10,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,775.0,2500,1951.0,3.0,No,0,No,No,No,0,No,0,No,,,463000,293383,88015,205368,0,2022-04-20,0,No,249000.0,2022-04-20,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,8,0,1.0,1837.0,5000,1939.0,13.0,No,0,No,No,No,0,No,0,No,,,1278000,701880,210564,491316,0,2012-07-20,0,No,570000.0,2012-07-20,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,920.0,4880,1920.0,8.0,No,0,No,No,No,0,No,0,No,,,489257,489257,146777,342480,467,2016-08-26,430000,Yes,205000.0,2016-08-26,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1050.0,4905,1925.0,19.0,No,0,No,No,No,0,No,0,No,,,386000,117477,30768,86709,0,2006-03-20,0,No,0.0,2006-03-20,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,Yes,Yes
SFR,Single Family Residence,Residential,4.0,2.0,7,0,2.0,1910.0,8175,1915.0,3.0,No,0,No,No,No,0,No,0,No,,,788622,788622,236586,552036,209,2022-06-01,400000,Yes,205000.0,2022-06-01,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1733.0,3325,1929.0,22.0,No,0,No,No,No,0,No,0,No,,,526000,82026,20087,61939,0,2003-06-03,0,No,,2003-06-03,Affidavit Of Death,2025-07-23 00:00:00 UTC,Yes,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,888.0,4725,1923.0,7.0,No,0,No,No,No,0,No,0,No,,,731151,731151,219345,511806,0,2018-07-26,0,No,630000.0,2018-07-26,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,2.0,6,0,1.0,1427.0,3500,1925.0,7.0,No,0,No,No,No,0,No,0,No,,,512000,97496,15383,82113,0,2017-08-10,0,No,0.0,2017-08-10,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,1.0,6,0,1.0,1552.0,3500,1912.0,0.0,No,0,No,No,No,0,No,0,No,,,664000,362060,108618,253442,0,2024-08-28,0,No,250000.0,2024-08-28,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,Yes,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1178.0,5500,1925.0,0.0,No,0,No,No,No,0,No,0,No,,,849000,788051,236415,551636,0,2025-06-16,0,No,600000.0,2025-06-16,Intrafamily Transfer,2025-07-24 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.0,1021.0,5800,1916.0,9.0,No,0,No,No,No,0,No,0,No,,,434000,280875,84262,196613,0,2016-02-24,0,No,0.0,2016-02-24,Grant Deed,2025-07-23 00:00:00 UTC,Yes,Yes,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1340.0,3560,1927.0,11.0,No,0,No,No,No,0,No,0,No,,,743000,447734,134320,313414,284,2014-07-31,380000,Yes,0.0,2014-07-31,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,4,0,1.0,782.0,4750,1943.0,19.0,No,0,No,No,No,0,No,0,No,,,444098,444098,133229,310869,0,2006-06-20,0,No,325000.0,2006-06-20,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,,,0,0,,1196.0,4800,1939.0,18.0,No,0,No,No,No,0,No,0,No,,,833000,332367,99710,232657,0,2007-01-08,0,No,225000.0,2007-01-08,Intrafamily Transfer,2025-07-16 00:00:00 UTC,No,Yes,Yes
SFR,Single Family Residence,Residential,3.0,2.0,6,0,1.5,1417.0,4505,1938.0,1.0,No,0,No,No,No,0,No,0,No,,,1200000,1200000,360000,840000,847,2023-10-30,1200000,Yes,550000.0,2023-10-30,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
